AXIS,QUANTITY,CHART
Jobs Housing Balance,0.065473514,AEROTROPOLIS
Jobs Housing Balance,0.188266457,BUCKHEAD
Jobs Housing Balance,0.055307553,CITY CENTER
Jobs Housing Balance,0.208380689,CUMBERLAND
Jobs Housing Balance,0.015950521,DORAVILLE ASSEMBLY
Jobs Housing Balance,0.023681602,EMORY
Jobs Housing Balance,0.580218069,FT MCPHERSON
Jobs Housing Balance,0.107535154,FULTON INDUSTRIAL
Jobs Housing Balance,0.318176968,GWINNETT
Jobs Housing Balance,0.017056884,HARTSFIELD
Jobs Housing Balance,0.052135996,LOCKHEED/DOBBINS
Jobs Housing Balance,0.191270606,MIDTOWN
Jobs Housing Balance,0.268240695,NEWNAN
Jobs Housing Balance,0.131018534,NORTH POINT
Jobs Housing Balance,0.152771095,PEACHTREE CORNERS
Jobs Housing Balance,0.117972957,PERIMETER
Jobs Housing Balance,0.737330317,STOCKBRIDGE
Jobs Housing Balance,0.154496208,STONECREST
Jobs Housing Balance,0.269250008,TOWN CENTER
Jobs Housing Balance,0.72484472,TRIBUTARY
Jobs Housing Balance,0.185666237,WINDWARD
Accessible Employment,878093,BUCKHEAD
Accessible Employment,86144,NEWNAN
Accessible Employment,809306,CUMBERLAND
Accessible Employment,581606,DORAVILLE ASSEMBLY
Accessible Employment,707991,HARTSFIELD
Accessible Employment,702555,EMORY
Accessible Employment,109481,STONECREST
Accessible Employment,137895,TRIBUTARY
Accessible Employment,1111995,MIDTOWN
Accessible Employment,343138,NORTH POINT
Accessible Employment,311120,TOWN CENTER
Accessible Employment,592348,FULTON INDUSTRIAL
Accessible Employment,372000,LOCKHEED/DOBBINS
Accessible Employment,1025102,PERIMETER
Accessible Employment,275383,STOCKBRIDGE
Accessible Employment,513490,PEACHTREE CORNERS
Accessible Employment,551852,AEROTROPOLIS
Accessible Employment,357671,WINDWARD
Accessible Employment,514857,FT MCPHERSON
Accessible Employment,1277042,CITY CENTER
Accessible Employment,405455,GWINNETT
Transit Mode Share,0.020806613,AEROTROPOLIS
Transit Mode Share,0.054626123,BUCKHEAD
Transit Mode Share,0.140372834,CITY CENTER
Transit Mode Share,0.017478368,CUMBERLAND
Transit Mode Share,0.090163934,DORAVILLE ASSEMBLY
Transit Mode Share,0.136521739,EMORY
Transit Mode Share,0.102727673,FT MCPHERSON
Transit Mode Share,0.018706938,FULTON INDUSTRIAL
Transit Mode Share,0.010886689,GWINNETT
Transit Mode Share,0.040549566,HARTSFIELD
Transit Mode Share,0.031038942,LOCKHEED/DOBBINS
Transit Mode Share,0.135435635,MIDTOWN
Transit Mode Share,0.003520944,NEWNAN
Transit Mode Share,0.027814453,NORTH POINT
Transit Mode Share,0.018487591,PEACHTREE CORNERS
Transit Mode Share,0.04181029,PERIMETER
Transit Mode Share,0.009553245,STOCKBRIDGE
Transit Mode Share,0.044626442,STONECREST
Transit Mode Share,0.011742226,TOWN CENTER
Transit Mode Share,0.005611368,TRIBUTARY
Transit Mode Share,0.018192214,WINDWARD
Zero Car Transit Trips Per HH,0.145604396,AEROTROPOLIS
Zero Car Transit Trips Per HH,0.313928385,BUCKHEAD
Zero Car Transit Trips Per HH,2.39031442,CITY CENTER
Zero Car Transit Trips Per HH,0.095723658,CUMBERLAND
Zero Car Transit Trips Per HH,2.163265306,DORAVILLE ASSEMBLY
Zero Car Transit Trips Per HH,3.04845815,EMORY
Zero Car Transit Trips Per HH,0.313087248,FT MCPHERSON
Zero Car Transit Trips Per HH,0.139507154,FULTON INDUSTRIAL
Zero Car Transit Trips Per HH,0.030601551,GWINNETT
Zero Car Transit Trips Per HH,1.73955774,HARTSFIELD
Zero Car Transit Trips Per HH,0.2,LOCKHEED/DOBBINS
Zero Car Transit Trips Per HH,0.606925959,MIDTOWN
Zero Car Transit Trips Per HH,0.000407498,NEWNAN
Zero Car Transit Trips Per HH,0.10089568,NORTH POINT
Zero Car Transit Trips Per HH,0.053239352,PEACHTREE CORNERS
Zero Car Transit Trips Per HH,0.285303777,PERIMETER
Zero Car Transit Trips Per HH,0.00705738,STOCKBRIDGE
Zero Car Transit Trips Per HH,0.155680224,STONECREST
Zero Car Transit Trips Per HH,0.052266535,TOWN CENTER
Zero Car Transit Trips Per HH,0.005998286,TRIBUTARY
Zero Car Transit Trips Per HH,0.037194064,WINDWARD
